Ano,Mês,Dia,HORA,Média de Vel 1,Média de Dir 1,Média de Vel_ext 1,VX,VY
2011,2,13,14,5.867,123.5,5.883833333,-0.833927737,5.824436386
2011,2,13,15,7.483,129.3333333,7.504,-0.303079388,7.497876958
2011,2,13,16,6.830166667,126.1666667,6.864166667,-0.655685267,6.832778415
2011,2,13,17,5.209666667,139,5.2505,0.671871332,5.207335131
2011,2,13,18,5.667833333,141.6666667,5.758,1.001705202,5.67019847
2011,2,13,19,6.639,142.1666667,6.749166667,1.232090087,6.635752008
2011,2,13,20,6.698333333,135.5,6.802833333,0.45700056,6.78746579
2011,2,13,21,5.358666667,146.8333333,5.447,1.426791082,5.256812362
2011,2,13,22,5.219833333,142.8333333,5.312166667,1.030463586,5.211262754
2011,2,13,23,6.9975,135.3333333,7.091166667,0.455787448,7.076503551
2011,2,14,0,6.631166667,140.3333333,6.7305,1.016348017,6.653319995
2011,2,14,1,7.167,145.6666667,7.287,1.765177859,7.069972852
2011,2,14,2,7.310666667,147.8333333,7.419666667,2.06818652,7.125591763
2011,2,14,3,7.052666667,143.3333333,7.149,1.447923984,7.000836888
2011,2,14,4,7.704333333,146.6666667,7.809,2.023564113,7.542258898
2011,2,14,5,6.446666667,141.1666667,6.5445,1.082247384,6.454395467
2011,2,14,6,5.064,146.8333333,5.136333333,1.345414833,4.956992943
2011,2,14,7,5.6915,153.5,5.724166667,2.130586222,5.312879293
2011,2,14,8,6.534166667,129.6666667,6.556,-0.226676161,6.552080121
2011,2,14,9,7.121166667,117.5,7.1375,-1.744611115,6.920999806
2011,2,14,10,6.879166667,125,6.898333333,-0.798625461,6.851948639
2011,2,14,11,7.160166667,115.1666667,7.183,-2.037848476,6.887863427
2011,2,14,12,5.903,93,5.916333333,-3.69495876,4.620636305
2011,2,14,13,8.569333333,38.16666667,8.658833333,-8.642853846,-0.525806136
2011,2,14,14,3.4945,147.1666667,3.529,0.944187069,3.400345832
2011,2,14,15,1.912166667,215.8,1.912166667,1.902214888,0.194832959
2011,2,14,16,1.683333333,36.66666667,1.683333333,-1.676975234,-0.146168304
2011,2,14,17,1.975,112.8333333,1.975,-0.636956083,1.86946836
2011,2,14,18,5.618166667,111,5.726166667,-2.019201544,5.358340212
2011,2,14,19,7.671,116.8333333,7.812,-1.997486749,7.552310288
2011,2,14,20,8.125666667,129.8333333,8.262666667,-0.261662884,8.258522446
2011,2,14,21,8.9465,137,9.078666667,0.846792374,9.039089065
2011,2,14,22,8.475333333,142,8.593666667,1.544227183,8.453784312
2011,2,14,23,7.851,146.1666667,7.971166667,1.998323479,7.716618515
2011,2,15,0,7.771,148.6666667,7.888,2.308674317,7.542583569
2011,2,15,1,8.3525,146.6666667,8.46,2.192259239,8.171021933
2011,2,15,2,7.8135,145.1666667,7.924166667,1.852358808,7.704620965
2011,2,15,3,7.581666667,153.6666667,7.696,2.88528639,7.134671572
2011,2,15,4,7.639833333,147.8333333,7.7485,2.159846792,7.441391945
2011,2,15,5,7.951,145.8333333,8.067,1.976881142,7.821024866
2011,2,15,6,8.026,143.6666667,8.0935,1.685300682,7.916091451
2011,2,15,7,9.701166667,133.1666667,9.7365,0.258028475,9.733080373
2011,2,15,8,9.928833333,127.5,9.967166667,-0.720970093,9.941056961
2011,2,15,9,9.333333333,123.5,9.357166667,-1.326210377,9.262706628
2011,2,15,10,9.3785,119.5,9.4035,-1.978863891,9.19292717
2011,2,15,11,9.860833333,117.3333333,9.894666667,-2.446441371,9.587458113
2011,2,15,12,9.479833333,105.8333333,9.511333333,-4.14183262,8.562165866
2011,2,15,13,8.972333333,113.3333333,9.004166667,-2.829441286,8.548057053
2011,2,15,14,9.2715,101,9.303,-4.742330793,8.00350596
2011,2,15,15,9.665333333,106.5,9.701833333,-4.122883909,8.782220579
2011,2,15,16,10.021,105,10.0675,-4.515367748,8.998111488
2011,2,15,17,10.27016667,108.5,10.3335,-4.062191087,9.501569651
2011,2,15,18,8.686666667,107.3333333,8.761,-3.607332948,7.983875625
