,,,,,129.8556495,,,
Ano,Mês,Dia,HORA,Média de Vel 1,Média de Dir 1,Média de Vel_ext 1,VX,VY
2011,2,13,14,4.571166667,112.3333333,4.656333333,-1.401915991,4.440278332
2011,2,13,15,6.0745,119.8333333,6.187,-1.076734362,6.092586652
2011,2,13,16,5.8385,115.5,5.943,-1.473507827,5.757432039
2011,2,13,17,5.272166667,119.3333333,5.431166667,-0.991831403,5.339835375
2011,2,13,18,5.741,124.3333333,6.0015,-0.577545007,5.973645789
2011,2,13,19,6.224666667,124.6666667,6.504666667,-0.588289098,6.478009292
2011,2,13,20,6.123166667,118.5,6.390666667,-1.258312616,6.26556221
2011,2,13,21,5.086333333,134.5,5.343666667,0.4326792,5.326120742
2011,2,13,22,4.101166667,123.8333333,4.275166667,-0.448532584,4.25157248
2011,2,13,23,5.438166667,129,5.726166667,-0.085510825,5.72552815
2011,2,14,0,6.198833333,123,6.474833333,-0.772890148,6.42853852
2011,2,14,1,5.446833333,120.5,5.662666667,-0.920535804,5.58734352
2011,2,14,2,6.349666667,126.3333333,6.584666667,-0.404544135,6.572227869
2011,2,14,3,6.275333333,122.6666667,6.523833333,-0.816408556,6.472548063
2011,2,14,4,7.277666667,129,7.5395,-0.112589958,7.538659281
2011,2,14,5,6.212833333,125.1666667,6.483,-0.529964937,6.461302204
2011,2,14,6,5.615333333,133.6666667,5.855666667,0.389201355,5.842718068
2011,2,14,7,5.100166667,146.5,5.198833333,1.489102266,4.981008178
2011,2,14,8,4.881666667,130.8333333,4.922833333,0.083998176,4.922116651
2011,2,14,9,6.915666667,114,6.985833333,-1.908632278,6.720043912
2011,2,14,10,6.366833333,117.6666667,6.445,-1.360776987,6.299707215
2011,2,14,11,6.579833333,118,6.651166667,-1.366460218,6.509286021
2011,2,14,12,6.767,110.3333333,6.847166667,-2.288144964,6.453532675
2011,2,14,13,6.750666667,108.6666667,6.842666667,-2.473249636,6.380056689
2011,2,14,14,5.025833333,172.6666667,5.0995,3.465530338,3.740989137
2011,2,14,15,3.705833333,129.5,3.8125,-0.023665005,3.812426552
2011,2,14,16,3.3645,18.5,3.441333333,-3.205044416,-1.25318211
2011,2,14,17,3.254166667,54,3.3025,-3.202378608,0.80701766
2011,2,14,18,6.224166667,92.33333333,6.577833333,-4.006363488,5.216986003
2011,2,14,19,7.818666667,102.3333333,8.2055,-3.791712814,7.276891107
2011,2,14,20,8.335333333,114.3333333,8.7245,-2.334795559,8.406285146
2011,2,14,21,8.307166667,119,8.699333333,-1.638391455,8.543656938
2011,2,14,22,8.1745,130.1666667,8.508333333,0.046185344,8.508207979
2011,2,14,23,7.552,130.3333333,7.875333333,0.065657119,7.875059635
2011,2,15,0,7.030666667,132.3333333,7.299833333,0.315573723,7.293008975
2011,2,15,1,7.299833333,133.6666667,7.5755,0.50351139,7.558748344
2011,2,15,2,6.981333333,134.1666667,7.256666667,0.545487052,7.236135363
2011,2,15,3,6.013166667,139.6666667,6.271166667,1.068600385,6.179451803
2011,2,15,4,7.072833333,135.8333333,7.4445,0.775278407,7.404020775
2011,2,15,5,6.733166667,129.5,7.075166667,-0.043917076,7.075030364
2011,2,15,6,6.7955,123.6666667,7.003166667,-0.754998733,6.962350198
2011,2,15,7,8.1905,121.8333333,8.344,-1.164478548,8.262343839
2011,2,15,8,9.405,116.3333333,9.544166667,-2.231655944,9.279592077
2011,2,15,9,8.5025,111.6666667,8.6055,-2.686226149,8.175501167
2011,2,15,10,8.781666667,113.3333333,8.904333333,-2.532292444,8.536664869
2011,2,15,11,9.4455,110.8333333,9.563666667,-3.117147088,9.041411071
2011,2,15,12,8.262833333,108.1666667,8.399833333,-3.104310364,7.805155808
2011,2,15,13,8.786166667,100.6666667,8.935,-4.357526221,7.8003968
2011,2,15,14,8.488,107.5,8.649166667,-3.289750376,7.999101605
2011,2,15,15,8.55,103.3333333,8.700666667,-3.885250924,7.785012891
2011,2,15,16,9.555333333,103,9.747166667,-4.403226657,8.695910133
2011,2,15,17,9.3285,104,9.571666667,-4.174254979,8.613500923
2011,2,15,18,8.264333333,106,8.530833333,-3.450157133,7.802021091
2011,2,15,19,8.183666667,110.3333333,8.4885,-2.836635863,8.000508061
